Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Yellow,Red,SubOn,SubOff,Shots,SOT,HitPost ,HeadClear,HeadGoal,PKScored,FKGoal,Offsides,ThrBall,Misses,Corners,Crosses,Blocks,Interceptions,Fouls,Last man ,Tackles,ELG,OwnGoal,Clears,ABW,ABL
Mike van der Hoorn,2017-2018,1992,25,Swansea City,Netherlands,2200000,2750000,DF,24,1949,1,858,0,4,0,0,8,10,5,0,67,1,0,0,0,0,5,0,8,14,39,22,1,32,0,0,123,57,45
Moritz Bauer,2017-2018,1992,25,Stoke City,Austria,2530000,5500000,DF,15,1308,0,286,0,4,0,0,3,1,1,0,15,0,0,0,1,0,0,0,39,1,12,19,0,24,0,0,40,19,22
Nacho Monreal,2015-2016,1986,29,Arsenal,Spain,12000000,15000000,DF,37,3248,0,1844,3,1,0,1,0,12,0,0,58,0,0,0,2,4,1,0,99,11,105,28,0,80,0,0,114,69,54
Nacho Monreal,2017-2018,1986,31,Arsenal,Spain,13000000,13000000,DF,28,2242,5,1719,2,3,0,2,3,22,8,1,41,1,0,0,2,0,14,0,31,8,56,19,1,54,1,0,74,62,63
Nacho Monreal,2016-2017,1986,30,Arsenal,Spain,15000000,13000000,DF,36,3153,0,1753,2,5,0,1,1,12,2,1,52,0,0,0,7,0,2,0,63,11,88,33,0,90,0,0,99,57,61
Nacho Monreal,2018-2019,1986,32,Arsenal,Spain,13000000,9000000,DF,22,1861,1,1168,3,5,0,1,1,7,4,0,27,0,0,0,1,0,3,0,28,10,31,17,0,35,0,0,54,36,39
Nathan Ake,2016-2017,1995,21,AFC Bournemouth,Netherlands,4500000,7200000,DF,12,831,3,405,1,1,0,3,0,7,4,0,45,2,0,0,0,1,1,0,2,8,11,4,0,22,0,0,76,21,18
Nathan Ake,2015-2016,1995,20,Watford,Netherlands,1800000,4500000,DF,24,1874,1,609,0,4,1,4,1,16,0,1,32,0,0,0,0,0,1,0,42,8,76,28,0,79,0,0,72,34,25
Nathan Ake,2018-2019,1995,23,AFC Bournemouth,Netherlands,13500000,27000000,DF,38,3412,4,1696,0,0,0,0,1,25,9,1,127,3,0,0,2,1,16,0,6,35,32,28,1,66,0,0,230,88,73
Nathan Ake,2017-2018,1995,22,AFC Bournemouth,Netherlands,7200000,13500000,DF,38,3353,2,1589,3,5,0,1,1,18,8,1,136,0,0,0,2,0,10,0,5,24,48,27,2,53,0,0,229,105,92
Nathaniel Clyne,2015-2016,1991,24,Liverpool,England,15300000,18900000,DF,33,2970,1,1510,0,6,0,0,0,29,6,0,15,0,0,0,1,1,0,0,81,8,52,19,0,84,0,0,57,11,21
Nathaniel Clyne,2018-2019,1991,27,AFC Bournemouth,England,18000000,10800000,DF,18,1253,0,518,1,2,0,4,4,5,1,0,9,0,0,0,0,2,4,0,21,3,18,9,1,37,0,0,28,6,12
Nathaniel Clyne,2016-2017,1991,25,Liverpool,England,18900000,18900000,DF,37,3324,0,1795,2,0,0,0,1,26,5,1,18,0,0,0,1,1,1,0,97,2,43,14,0,80,1,0,54,13,43
Neil Taylor,2016-2017,1989,27,Swansea City,Wales,5500000,5500000,DF,11,922,0,361,0,1,0,0,2,4,0,0,9,0,0,0,0,0,0,0,28,3,25,13,0,22,0,0,20,7,5
Neil Taylor,2015-2016,1989,26,Swansea City,Wales,4950000,5500000,DF,34,2947,0,1284,0,4,0,1,1,9,0,0,36,0,0,0,0,0,0,0,73,11,63,38,0,41,0,0,69,28,30
