Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Yellow,Red,SubOn,SubOff,Shots,SOT,HitPost ,HeadClear,HeadGoal,PKScored,FKGoal,Offsides,ThrBall,Misses,Corners,Crosses,Blocks,Interceptions,Fouls,Last man ,Tackles,ELG,OwnGoal,Clears,ABW,ABL
Craig Dawson,2017-2018,1990,27,West Bromwich Albion,England,7200000,5400000,DF,28,2509,2,906,0,6,0,0,1,16,4,0,81,2,0,0,4,0,12,0,42,26,52,35,0,38,0,0,132,117,68
Craig Dawson,2015-2016,1990,25,West Bromwich Albion,England,2700000,5400000,DF,38,3385,4,1115,0,3,0,0,1,38,8,1,108,3,0,0,3,0,6,0,130,26,86,28,0,59,0,1,162,119,73
Craig Dawson,2016-2017,1990,26,West Bromwich Albion,England,5400000,7200000,DF,37,3278,4,1017,0,10,0,0,2,21,8,1,96,3,0,0,2,1,1,0,85,29,58,53,0,58,0,0,149,131,93
Cuco Martina,2017-2018,1989,28,Everton,Curacao,1800000,1800000,DF,21,1831,0,780,2,1,0,1,1,1,1,0,49,0,0,0,2,1,0,0,45,4,42,26,0,61,0,0,117,23,35
Cuco Martina,2015-2016,1989,25,Southampton,Curacao,1100000,1800000,DF,15,1084,1,428,1,1,0,4,1,3,0,0,6,0,0,0,2,1,0,0,37,3,24,15,0,37,1,0,34,6,10
Curtis Davies,2016-2017,1985,31,Hull City,England,3850000,2750000,DF,26,2137,0,857,2,4,0,1,5,10,3,1,101,0,0,0,0,0,0,0,4,35,92,12,0,40,2,1,173,74,52
Cyrus Christie,2018-2019,1992,25,Fulham,Ireland,2700000,3150000,DF,28,1945,0,884,1,7,0,9,4,12,3,0,49,0,0,0,2,0,9,0,90,11,29,29,0,41,0,0,80,56,32
Daley Blind,2016-2017,1990,26,Manchester United,Netherlands,19800000,19800000,DF,23,1829,1,1040,2,2,0,3,2,9,2,0,49,0,0,0,0,1,0,45,87,9,44,14,0,45,0,0,108,25,22
Daley Blind,2015-2016,1990,25,Manchester United,Netherlands,15300000,19800000,DF,35,3117,1,2029,0,2,0,0,3,4,2,0,63,0,0,0,0,1,0,109,125,20,80,27,0,95,0,0,119,34,55
Damien Delaney,2015-2016,1981,34,Crystal Palace,Ireland,900000,1350000,DF,32,2880,2,1055,3,2,0,0,0,21,7,1,128,1,0,0,0,0,1,0,7,36,56,18,1,31,0,2,204,96,61
Damien Delaney,2016-2017,1981,35,Crystal Palace,Ireland,1350000,900000,DF,30,2007,0,889,2,8,0,9,2,5,1,0,89,0,0,0,0,1,0,0,5,21,35,26,2,25,0,0,150,59,55
Daniel Ayala,2016-2017,1990,25,Middlesbrough,Spain,2200000,2200000,DF,14,917,1,380,0,3,0,3,2,10,5,0,40,1,0,0,1,1,1,0,6,6,27,15,0,11,0,0,68,36,19
Danilo,2017-2018,1991,26,Manchester City,Brazil,14400000,18000000,DF,23,1341,3,1111,2,2,0,10,2,19,7,1,11,0,0,0,0,2,12,0,24,6,19,12,0,43,0,0,28,16,6
Danilo,2018-2019,1991,27,Manchester City,Brazil,18000000,18000000,DF,11,806,1,767,0,1,0,2,1,14,3,0,11,0,0,0,0,0,11,0,12,0,15,10,0,20,0,0,20,18,14
Danny Rose,2016-2017,1990,26,Tottenham,England,12600000,25200000,DF,18,1533,2,783,2,8,0,0,3,23,5,0,25,0,0,0,1,0,0,7,65,3,22,26,0,50,0,0,52,27,16
Danny Rose,2017-2018,1990,27,Tottenham,England,25200000,27000000,DF,10,801,0,378,1,4,0,1,3,1,1,0,2,0,0,0,0,0,0,15,57,6,9,12,0,15,0,0,10,8,5
Danny Rose,2018-2019,1990,28,Tottenham,England,27000000,22500000,DF,26,1798,0,929,3,5,0,6,6,15,2,1,12,0,0,0,1,2,13,17,89,4,24,26,0,49,1,0,20,27,17
Danny Rose,2015-2016,1990,25,Tottenham,England,9900000,12600000,DF,24,2132,1,1062,3,7,0,0,3,26,4,0,54,0,0,0,0,1,2,0,88,11,39,41,0,67,1,0,79,23,20
Danny Simpson,2015-2016,1987,28,Leicester City,England,1800000,4500000,DF,30,2613,0,869,0,3,0,0,3,7,2,0,65,0,0,0,0,0,0,0,29,17,94,29,0,52,0,0,125,59,53
Danny Simpson,2017-2018,1987,30,Leicester City,England,4500000,4500000,DF,28,2313,0,904,0,4,0,1,7,1,1,0,53,0,0,0,0,2,0,0,23,19,34,21,0,38,1,0,94,40,46
Danny Simpson,2016-2017,1987,29,Leicester City,England,4500000,4500000,DF,35,2990,0,1092,2,12,0,0,3,2,0,0,80,0,0,0,2,0,0,0,26,11,68,35,0,50,0,0,142,52,66
Daryl Janmaat,2017-2018,1989,28,Watford,Netherlands,6300000,5400000,DF,23,1822,3,768,0,3,0,2,4,24,10,1,26,1,0,0,0,0,14,0,68,5,33,14,0,46,0,0,53,27,17
Daryl Janmaat,2018-2019,1989,29,Watford,Netherlands,5400000,5400000,DF,18,1522,0,599,2,3,0,1,2,11,1,0,27,0,0,0,1,1,10,0,61,6,32,16,0,36,0,0,61,20,13
Daryl Janmaat,2016-2017,1989,27,Watford,Netherlands,6750000,6300000,DF,27,1615,2,604,1,2,0,9,6,26,8,1,20,0,0,0,5,1,1,0,52,3,20,17,0,45,0,0,35,21,21
Daryl Janmaat,2015-2016,1989,26,Newcastle United,Netherlands,6750000,6750000,DF,31,2755,2,1252,4,5,1,0,3,19,8,0,44,0,0,0,5,3,0,3,144,8,56,29,0,80,0,0,83,27,28
David Luiz,2016-2017,1987,29,Chelsea,Brazil,25200000,27000000,DF,33,2956,0,1570,0,6,0,0,2,31,10,0,101,0,0,1,3,7,0,0,6,14,64,29,0,42,0,0,171,60,39
David Luiz,2018-2019,1987,31,Chelsea,Brazil,22500000,18000000,DF,36,3239,3,2620,2,3,0,0,1,34,8,1,83,3,0,0,0,41,26,0,4,18,35,34,1,41,1,0,144,82,72
David Luiz,2017-2018,1987,30,Chelsea,Brazil,27000000,22500000,DF,10,839,1,492,0,4,1,1,0,11,4,0,23,0,0,0,0,0,7,0,1,5,24,12,0,18,0,0,41,17,16
Davide Zappacosta,2017-2018,1992,25,Chelsea,Italy,9350000,22000000,DF,22,1095,1,445,1,0,0,10,7,25,11,1,13,0,0,0,5,0,14,1,84,2,6,7,0,26,0,0,20,14,6
Davinson Sánchez,2018-2019,1996,22,Tottenham,Colombia,36000000,49500000,DF,23,1943,1,1440,1,0,0,0,2,14,3,0,58,0,0,0,0,0,11,0,0,9,30,20,0,37,1,0,101,66,50
Davinson Sánchez,2017-2018,1996,21,Tottenham,Colombia,22500000,36000000,DF,31,2535,0,1867,0,1,1,2,2,1,1,0,81,0,0,0,0,0,0,0,3,10,38,25,0,38,0,1,159,73,62
DeAndre Yedlin,2017-2018,1993,24,Newcastle United,United States,4500000,7200000,DF,34,2842,0,1000,2,5,0,3,0,0,0,0,40,0,0,0,9,2,0,0,73,7,44,32,2,57,0,1,93,47,50
DeAndre Yedlin,2015-2016,1993,22,Sunderland,United States,1350000,2700000,DF,23,1812,0,519,0,2,0,2,3,4,1,0,36,0,0,0,0,0,0,0,41,13,25,21,0,39,0,0,89,24,30
DeAndre Yedlin,2018-2019,1993,25,Newcastle United,United States,7200000,7200000,DF,29,2474,1,732,2,6,0,0,2,11,2,0,33,0,0,0,4,0,9,0,77,10,28,41,0,54,0,1,71,30,41
Declan Rice,2018-2019,1999,19,West Ham United,England,9000000,40000000,DF,34,3004,2,1518,0,4,0,0,2,22,5,1,22,0,0,0,1,2,17,0,3,12,52,17,0,98,0,0,54,55,42
Declan Rice,2017-2018,1999,18,West Ham United,England,450000,9000000,DF,26,1423,0,573,0,1,0,11,3,0,0,0,33,0,0,0,0,1,0,0,5,13,27,5,0,36,1,0,70,0,35
Dejan Lovren,2015-2016,1989,26,Liverpool,Croatia,11700000,13500000,DF,24,1897,0,1052,0,2,0,2,3,22,6,0,83,0,0,0,0,0,0,0,4,14,37,23,0,34,1,0,153,80,21
Dejan Lovren,2018-2019,1989,29,Liverpool,Croatia,18000000,18000000,DF,13,986,1,821,0,1,0,2,1,6,1,0,27,0,0,0,0,1,5,0,4,7,11,3,0,15,0,0,51,53,25
Dejan Lovren,2016-2017,1989,27,Liverpool,Croatia,13500000,15300000,DF,29,2554,2,2001,1,6,0,0,2,15,5,0,112,1,0,0,1,1,0,0,7,16,45,25,0,41,1,0,182,103,57
Dejan Lovren,2017-2018,1989,28,Liverpool,Croatia,15300000,18000000,DF,29,2125,2,1803,1,4,0,5,2,14,4,0,86,2,0,0,0,0,10,0,4,15,38,15,0,26,1,0,142,104,60
Denis Odoi,2018-2019,1988,30,Fulham,Belgium,1350000,2250000,DF,31,2594,0,1332,1,4,0,2,1,10,1,0,59,0,0,0,0,2,9,0,13,24,42,37,0,48,0,1,144,55,53
Diego Rico,2018-2019,1993,25,AFC Bournemouth,Spain,2250000,8100000,DF,12,607,0,285,0,0,0,7,2,9,0,0,7,0,0,0,0,0,9,12,39,2,14,10,0,14,0,0,17,7,9
Diogo Dalot,2018-2019,1999,19,Manchester United,Portugal,13500000,18000000,DF,16,1014,0,423,2,3,0,4,6,15,0,0,12,0,0,0,2,0,15,3,50,2,10,12,0,24,0,0,30,22,5
Donald Love,2016-2017,1994,21,Sunderland,Scotland,1100000,1100000,DF,12,607,0,215,1,1,0,6,1,2,1,0,9,0,0,0,0,1,0,0,20,7,15,9,0,20,0,0,24,9,17
Eliaquim Mangala,2015-2016,1991,24,Manchester City,France,25200000,20600000,DF,22,2010,0,1003,0,8,0,0,2,7,1,0,55,0,0,0,0,0,0,0,2,7,66,36,2,32,1,0,120,41,21
Eliaquim Mangala,2017-2018,1991,26,Manchester City,France,13500000,13500000,DF,11,618,0,413,0,0,0,5,1,0,0,0,12,0,0,0,0,1,0,0,0,3,3,3,0,7,1,0,28,14,14
Emerson,2018-2019,1994,24,Chelsea,Italy,18000000,13500000,DF,10,660,0,436,0,0,0,3,0,5,1,0,3,0,0,0,0,2,4,0,28,1,8,8,0,14,0,0,8,5,9
Eric Bailly,2018-2019,1994,24,Manchester United,Cote D'Ivoire,31500000,22500000,DF,12,639,0,302,0,0,1,4,2,3,1,0,11,0,0,0,0,0,2,0,0,4,13,5,0,15,0,0,37,13,4
Eric Bailly,2017-2018,1994,23,Manchester United,Cote D'Ivoire,27000000,31500000,DF,13,1000,1,426,0,2,0,2,0,1,1,0,14,0,0,0,0,1,0,0,0,6,25,10,0,17,0,1,56,17,8
Eric Bailly,2016-2017,1994,22,Manchester United,Cote D'Ivoire,18000000,27000000,DF,25,2060,0,876,0,4,0,1,3,6,1,1,60,0,0,0,0,0,1,0,2,16,60,28,1,60,0,0,126,37,30
Erik Durm,2018-2019,1992,26,Huddersfield Town,Germany,900000,1800000,DF,28,2052,0,774,1,0,0,7,3,9,0,1,12,0,0,0,1,0,9,1,66,6,41,13,0,35,0,0,37,22,36
Erik Pieters,2016-2017,1988,27,Stoke City,Netherlands,6300000,6300000,DF,36,3151,0,1331,1,4,0,1,0,9,0,0,60,0,0,0,1,0,1,0,109,20,54,60,0,106,1,0,110,54,39
Erik Pieters,2017-2018,1988,29,Stoke City,Netherlands,6300000,5400000,DF,31,2720,0,1000,1,5,0,1,3,1,1,0,48,0,0,0,2,0,0,0,64,25,61,58,0,71,1,0,106,53,46
Erik Pieters,2015-2016,1988,26,Stoke City,Netherlands,2700000,6300000,DF,35,3096,0,1504,1,10,0,0,3,5,1,0,47,0,0,0,0,1,0,2,103,18,95,58,0,116,1,0,93,47,44
Ezequiel Schelotto,2017-2018,1989,28,Brighton and Hove Albion,Italy,4950000,4950000,DF,20,1315,0,455,0,3,0,5,3,2,2,0,30,0,0,0,0,1,0,0,33,3,19,8,0,20,0,0,51,27,19
Fabián Balbuena,2018-2019,1991,26,West Ham United,Paraguay,4500000,10800000,DF,23,2014,1,832,0,0,0,0,1,19,2,1,82,0,0,0,0,1,17,0,1,15,53,19,1,40,0,0,172,70,62
Fabian Schär,2018-2019,1991,26,Newcastle United,Switzerland,2700000,7200000,DF,24,2003,4,994,1,0,0,2,5,25,7,0,76,0,0,0,1,4,18,0,17,16,67,28,0,60,0,0,137,65,65
Fabinho,2018-2019,1993,24,Liverpool,Brazil,40500000,45000000,DF,28,2012,0,1610,2,6,0,7,3,17,4,0,11,0,0,0,0,2,13,0,10,6,28,29,0,59,0,0,26,56,40
Fabricio Coloccini,2015-2016,1982,33,Newcastle United,Argentina,1800000,1800000,DF,26,2293,1,849,0,2,1,0,1,10,3,1,47,0,0,0,0,0,1,0,4,29,61,9,0,43,0,1,97,32,33
Federico Fernández,2016-2017,1989,27,Swansea City,Argentina,8100000,8100000,DF,27,2430,0,1133,2,7,0,0,0,15,2,0,117,0,0,0,0,0,0,0,5,20,50,26,0,44,1,0,187,69,36
Federico Fernández,2015-2016,1989,26,Swansea City,Argentina,8100000,8100000,DF,32,2880,1,1697,1,3,0,0,0,17,0,1,137,0,0,0,2,2,2,0,2,23,80,31,0,58,1,2,217,87,60
Federico Fernández,2018-2019,1989,29,Newcastle United,Argentina,7200000,6300000,DF,19,1482,0,611,1,0,0,2,2,4,1,0,55,0,0,0,1,0,3,0,5,12,25,12,0,16,0,0,102,38,31
Federico Fernández,2017-2018,1989,28,Swansea City,Argentina,8100000,7200000,DF,30,2677,1,1210,1,5,0,0,1,4,4,0,123,1,0,0,2,0,0,0,4,27,38,29,0,40,0,1,198,72,63
Florent Hadergjonaj,2018-2019,1994,24,Huddersfield Town,Kosovo,4500000,6300000,DF,24,1840,0,726,0,1,0,5,3,6,2,0,11,0,0,0,2,2,4,0,91,7,21,11,0,30,1,0,27,23,23
Florent Hadergjonaj,2017-2018,1994,23,Huddersfield Town,Kosovo,2250000,4500000,DF,23,1672,0,618,1,3,0,4,3,2,2,0,16,0,0,0,4,2,0,4,98,10,17,17,0,21,0,0,38,15,22
Florian Lejeune,2018-2019,1991,27,Newcastle United,France,7200000,7200000,DF,12,1055,0,563,0,0,0,0,1,7,2,0,28,0,0,0,0,3,5,0,7,5,21,11,0,25,0,0,44,31,17
Florian Lejeune,2017-2018,1991,26,Newcastle United,France,4500000,7200000,DF,24,2104,0,1071,2,3,0,0,1,13,3,0,81,0,0,0,2,2,10,0,4,15,46,17,1,33,0,0,146,83,51
Gabriel Paulista,2015-2016,1990,24,Arsenal,Brazil,10800000,10800000,DF,21,1761,1,1110,0,4,1,3,0,11,4,1,48,1,0,0,0,1,0,0,0,13,61,9,3,43,0,0,112,51,32
Gabriel Paulista,2016-2017,1990,25,Arsenal,Brazil,10800000,11700000,DF,19,1516,0,872,0,6,0,4,2,9,2,0,48,0,0,0,0,0,1,0,8,9,30,20,0,25,0,0,85,49,39
Gaël Clichy,2015-2016,1985,30,Manchester City,France,9900000,8100000,DF,14,1088,0,693,0,0,0,2,2,2,0,1,17,0,0,0,0,1,0,0,27,3,50,10,0,28,0,0,40,12,9
Gaël Clichy,2016-2017,1985,31,Manchester City,France,8100000,6300000,DF,25,2125,1,1454,0,2,0,1,3,2,1,0,45,0,0,0,1,3,0,0,26,2,53,12,0,44,0,0,86,30,40
Gaëtan Bong,2017-2018,1988,29,Brighton and Hove Albion,Cameroon,1350000,1350000,DF,25,2238,0,772,0,2,0,0,2,1,1,0,37,0,0,0,0,0,0,0,53,6,40,16,0,39,1,1,71,30,28
Gaëtan Bong,2018-2019,1988,30,Brighton and Hove Albion,Cameroon,1350000,1800000,DF,22,1805,0,602,0,0,0,3,0,2,0,0,16,0,0,0,0,0,2,0,57,6,25,11,0,16,0,0,45,24,32
Gareth McAuley,2016-2017,1979,36,West Bromwich Albion,Northern Ireland,900000,900000,DF,36,3143,6,742,1,5,0,0,3,16,7,2,150,4,0,0,0,0,1,0,4,31,71,27,0,50,2,0,227,113,47
Gareth McAuley,2015-2016,1979,35,West Bromwich Albion,Northern Ireland,450000,900000,DF,34,3059,1,849,0,4,1,0,0,7,3,1,96,1,0,0,2,1,0,0,4,28,95,32,2,45,0,0,172,93,46
Gary Cahill,2017-2018,1985,32,Chelsea,England,14400000,13500000,DF,27,2084,0,1330,0,1,1,3,1,10,3,0,79,0,0,0,0,0,7,0,0,14,27,17,0,29,1,0,123,93,31
Gary Cahill,2015-2016,1985,29,Chelsea,England,18000000,14400000,DF,22,1955,2,773,0,2,0,2,0,13,4,0,58,0,0,0,1,1,0,0,0,34,36,17,2,22,0,1,114,69,38
Gary Cahill,2016-2017,1985,30,Chelsea,England,14400000,14400000,DF,37,3296,6,1849,0,5,0,1,1,24,10,0,110,3,0,0,2,1,0,0,1,19,46,34,0,53,2,1,167,91,56
Geoff Cameron,2015-2016,1985,30,Stoke City,United States,2700000,2700000,DF,30,2361,0,1128,0,0,1,3,5,15,2,0,62,0,0,0,0,3,0,0,16,19,56,27,2,60,0,0,98,70,40
Geoff Cameron,2017-2018,1985,32,Stoke City,United States,2700000,2250000,DF,20,1524,0,506,0,2,0,3,3,0,0,0,23,0,0,0,0,0,0,0,9,8,36,16,1,34,0,0,61,39,32
George Friend,2016-2017,1987,28,Middlesbrough,England,1650000,1650000,DF,24,1960,0,780,2,4,0,4,0,15,1,0,49,0,0,0,0,0,0,0,37,11,56,28,0,62,1,0,80,47,38
Glen Johnson,2016-2017,1984,31,Stoke City,England,6300000,4500000,DF,23,1955,0,740,0,1,0,2,0,8,4,0,24,0,0,0,0,1,1,0,32,11,38,12,0,49,1,0,65,22,12
Glen Johnson,2015-2016,1984,30,Stoke City,England,6300000,6300000,DF,25,2186,0,895,3,1,0,0,2,17,0,0,18,0,0,0,4,2,0,0,56,13,51,11,0,41,0,0,27,17,11
Harry Maguire,2018-2019,1993,25,Leicester City,England,22500000,45000000,DF,31,2599,3,1747,0,6,1,0,2,30,13,1,77,1,0,0,4,2,17,0,1,18,37,20,2,31,1,0,152,118,33
Harry Maguire,2016-2017,1993,23,Hull City,England,2250000,7200000,DF,29,2307,2,1182,2,5,0,4,3,34,10,0,101,1,0,0,3,1,0,0,15,27,63,24,0,54,0,0,141,69,29
Harry Maguire,2017-2018,1993,24,Leicester City,England,7200000,22500000,DF,38,3420,2,1740,4,7,0,0,0,30,8,2,115,1,0,0,4,2,22,0,15,28,48,34,1,63,0,0,176,119,63
Håvard Nordtveit,2016-2017,1990,26,West Ham United,Norway,6600000,5500000,DF,16,956,0,413,1,2,0,5,3,7,1,0,15,0,0,0,0,0,0,0,9,4,24,11,0,18,0,0,25,19,7
Hector Bellerin,2015-2016,1995,20,Arsenal,Spain,5000000,18000000,DF,36,3240,1,1689,5,3,0,0,0,13,3,1,37,0,0,0,1,9,0,0,109,7,66,19,0,58,0,0,85,39,39
Hector Bellerin,2018-2019,1995,23,Arsenal,Spain,40000000,40000000,DF,19,1533,0,785,5,0,0,1,3,18,4,0,20,0,0,0,1,6,14,0,39,5,20,16,0,15,0,1,33,21,24
Hector Bellerin,2016-2017,1995,21,Arsenal,Spain,18000000,30000000,DF,33,2499,1,1392,4,4,0,6,1,22,5,1,24,0,0,0,0,8,1,0,69,7,36,20,1,24,0,0,46,31,43
Hector Bellerin,2017-2018,1995,22,Arsenal,Spain,30000000,40000000,DF,35,3051,2,1842,3,5,0,1,1,29,8,1,36,0,0,0,4,7,21,0,64,8,23,36,0,57,1,0,71,35,59
Isaac Hayden,2018-2019,1995,23,Newcastle United,England,6300000,7200000,DF,25,1864,1,720,4,3,1,4,6,22,5,0,16,0,0,0,0,5,17,0,11,4,40,32,0,73,0,0,28,54,40
Isaac Hayden,2017-2018,1995,22,Newcastle United,England,3600000,6300000,DF,26,1372,1,527,0,7,0,11,7,14,9,0,20,0,0,0,0,0,5,0,17,6,23,30,0,40,0,0,40,51,45
Issa Diop,2018-2019,1997,21,West Ham United,France,19800000,31500000,DF,33,2970,1,1134,0,4,0,0,0,12,5,0,72,1,0,0,3,0,7,0,0,36,64,18,0,68,1,1,155,76,49
Ivo Pinto,2015-2016,1990,25,Norwich City,Portugal,3600000,3600000,DF,10,811,0,306,0,0,0,1,0,0,0,0,12,0,0,0,3,0,0,0,31,2,21,9,0,17,0,0,28,5,14
Jack Cork,2018-2019,1989,29,Burnley,England,13500000,13500000,DF,37,3313,1,1329,2,6,0,0,1,17,2,0,32,0,0,0,4,3,15,1,14,16,29,30,0,51,0,0,79,52,79
Jack Rodwell,2015-2016,1991,24,Sunderland,England,8100000,6300000,DF,22,1158,1,446,0,5,0,13,1,25,7,0,8,0,0,0,2,2,3,0,6,7,14,17,0,25,0,0,17,25,18
Jack Rodwell,2016-2017,1991,25,Sunderland,England,6300000,4500000,DF,20,1493,0,570,1,4,0,3,4,19,5,0,26,0,0,0,1,3,1,0,8,8,19,23,0,38,0,0,51,32,24
Jack Stephens,2018-2019,1994,24,Southampton,England,3150000,7200000,DF,24,1697,0,767,0,4,0,5,2,7,5,0,50,0,0,0,0,0,2,0,2,13,37,11,0,25,0,0,94,56,42
Jack Stephens,2017-2018,1994,23,Southampton,England,3150000,3150000,DF,22,1979,2,928,0,6,1,0,0,11,4,0,54,1,0,0,2,1,7,0,9,18,41,13,2,29,0,0,105,45,34
Jack Stephens,2016-2017,1994,22,Southampton,England,225000,3150000,DF,17,1469,0,729,1,1,0,2,0,4,0,0,45,0,0,0,1,2,0,0,4,19,24,15,0,22,0,0,79,29,39
Jamaal Lascelles,2015-2016,1993,21,Newcastle United,England,3600000,3600000,DF,18,1148,2,486,0,1,1,8,0,4,4,0,54,2,0,0,0,0,0,0,1,13,28,11,0,12,1,0,77,42,13
Jamaal Lascelles,2017-2018,1993,24,Newcastle United,England,4500000,13500000,DF,33,2928,3,1184,0,5,0,1,1,12,8,0,140,3,0,0,0,0,4,0,2,24,28,16,2,31,0,0,230,128,60
Jamaal Lascelles,2018-2019,1993,24,Newcastle United,England,13500000,13500000,DF,32,2745,0,1104,1,4,0,0,3,11,1,0,104,0,0,0,1,2,10,0,2,28,39,16,2,32,2,0,213,92,46
James Chester,2015-2016,1989,26,West Bromwich Albion,Wales,3600000,4500000,DF,13,962,0,327,0,5,0,4,2,0,0,0,31,0,0,0,0,2,0,0,14,5,24,11,0,32,0,0,50,21,13
James Collins,2016-2017,1983,32,West Ham United,Wales,2200000,2200000,DF,22,1654,2,580,0,3,0,3,1,11,4,0,96,1,0,0,1,0,0,0,0,18,38,7,1,21,1,0,147,59,28
James Collins,2015-2016,1983,31,West Ham United,Wales,2200000,2200000,DF,19,1440,0,574,0,3,1,3,1,13,4,0,96,0,0,0,1,0,0,0,0,22,19,12,0,18,0,0,151,51,27
James Collins,2017-2018,1983,34,West Ham United,Wales,2200000,1100000,DF,13,1050,1,389,0,3,0,1,1,1,1,0,71,1,0,0,0,0,0,0,0,10,16,13,0,15,1,0,118,47,34
James Tarkowski,2017-2018,1992,25,Burnley,England,1800000,13500000,DF,31,2790,0,1091,0,5,0,0,0,18,5,0,143,0,0,0,3,0,13,0,4,43,50,25,0,46,0,0,219,147,62
James Tarkowski,2018-2019,1992,25,Burnley,England,13500000,16200000,DF,35,3087,3,1135,0,8,0,0,1,22,10,0,138,0,0,0,4,0,12,0,5,56,42,35,0,71,0,0,235,169,78
James Tarkowski,2016-2017,1992,23,Burnley,England,1800000,1800000,DF,19,556,0,263,0,1,0,15,0,5,0,0,20,0,0,0,2,0,1,0,2,7,11,10,0,19,0,0,37,26,19
James Tomkins,2017-2018,1989,28,Crystal Palace,England,6300000,7200000,DF,28,2388,3,888,0,8,0,1,2,23,10,2,108,1,0,0,0,0,13,0,1,12,63,20,1,47,1,0,213,116,66
James Tomkins,2015-2016,1989,26,West Ham United,England,5400000,6300000,DF,25,1963,0,835,0,4,0,2,6,9,1,0,51,0,0,0,0,0,0,0,15,10,54,17,0,62,2,0,101,34,20
James Tomkins,2016-2017,1989,27,Crystal Palace,England,6300000,6300000,DF,24,1976,3,728,0,4,0,0,5,14,4,0,69,0,0,0,0,0,3,0,3,13,37,10,0,28,0,0,124,58,40
James Tomkins,2018-2019,1989,29,Crystal Palace,England,7200000,7200000,DF,29,2562,0,1111,0,6,0,0,3,22,7,0,98,0,0,0,1,0,15,0,0,10,34,16,0,33,2,0,182,91,91
Jan Bednarek,2018-2019,1996,22,Southampton,Poland,4500000,13500000,DF,25,2150,0,822,1,7,0,1,1,5,1,0,76,0,0,0,0,3,4,0,1,27,71,22,1,41,0,0,168,80,61
Jan Kirchhoff,2015-2016,1990,24,Sunderland,Germany,1800000,2700000,DF,15,1083,0,553,0,0,0,1,10,8,0,0,27,0,0,0,0,0,0,0,5,3,35,20,0,51,0,0,49,35,42
Jan Vertonghen,2016-2017,1987,29,Tottenham,Belgium,20100000,25200000,DF,33,2897,0,2051,0,5,0,0,3,14,4,2,128,0,0,0,0,1,0,0,9,21,42,21,0,43,2,0,230,106,34
Jan Vertonghen,2018-2019,1987,31,Tottenham,Belgium,28800000,25200000,DF,22,1914,0,1531,0,3,1,0,3,15,2,0,36,1,0,0,1,0,13,0,28,11,32,10,0,38,0,0,72,51,27
Jan Vertonghen,2017-2018,1987,30,Tottenham,Belgium,25200000,28800000,DF,36,3205,0,2488,0,4,0,0,2,24,4,1,85,0,0,0,0,2,20,0,15,11,60,20,0,64,0,0,170,118,66
Jan Vertonghen,2015-2016,1987,28,Tottenham,Belgium,17100000,20100000,DF,29,2595,0,1474,0,5,0,0,1,11,2,0,107,0,0,0,0,0,0,0,2,18,63,17,0,48,0,0,174,54,36
Jannik Vestergaard,2018-2019,1992,25,Southampton,Denmark,12600000,18000000,DF,23,2030,0,845,0,2,0,0,3,14,0,0,103,0,0,0,1,3,14,0,0,20,35,17,0,53,0,0,171,84,53
Jason Denayer,2016-2017,1995,21,Sunderland,Belgium,3300000,6600000,DF,24,1878,0,586,0,2,0,2,5,6,2,0,44,0,0,0,0,0,0,0,10,19,34,17,0,35,0,1,80,27,35
Javier Manquillo,2016-2017,1994,22,Sunderland,Spain,5000000,4000000,DF,20,1428,0,425,0,2,0,5,2,3,1,0,21,0,0,0,5,0,0,0,34,5,24,14,0,30,0,0,49,17,14
Javier Manquillo,2017-2018,1994,23,Newcastle United,Spain,4000000,5000000,DF,21,1759,0,540,1,2,0,1,2,0,0,0,23,0,0,0,2,0,0,0,30,6,18,24,0,36,0,0,49,22,19
Javier Manquillo,2018-2019,1994,24,Newcastle United,Spain,5000000,5000000,DF,18,1099,0,352,3,2,0,6,2,2,1,0,18,0,0,0,1,1,1,0,28,1,17,13,0,27,0,0,48,19,20
Jeffrey Schlupp,2016-2017,1992,23,Crystal Palace,Ghana,7200000,7200000,DF,19,1136,0,349,0,0,0,7,4,3,0,0,26,0,0,0,0,0,0,1,15,4,26,4,0,35,0,0,49,23,18
Jeffrey Schlupp,2015-2016,1992,22,Leicester City,Ghana,5400000,7200000,DF,15,1383,1,461,2,4,0,10,5,26,6,0,13,0,0,0,0,0,0,0,45,1,31,15,0,46,0,0,21,26,28
Jeffrey Schlupp,2018-2019,1992,25,Crystal Palace,Ghana,8100000,9000000,DF,30,1665,4,630,1,0,0,12,7,28,8,0,13,0,0,0,1,3,20,0,17,8,19,25,0,41,0,0,21,54,61
Jeffrey Schlupp,2017-2018,1992,25,Crystal Palace,Ghana,7200000,8100000,DF,24,1748,0,654,1,3,0,3,6,15,2,0,29,0,0,0,0,0,13,0,31,8,24,18,0,57,0,0,54,39,51
Joe Bennett,2018-2019,1990,28,Cardiff City,England,1800000,2700000,DF,30,2641,0,694,1,5,0,0,2,10,3,0,30,0,0,0,1,2,7,1,43,8,60,20,0,50,0,0,84,35,17
Joe Bryan,2018-2019,1993,24,Fulham,England,5400000,5400000,DF,28,2347,0,951,1,5,0,1,6,21,7,0,34,0,0,0,2,1,14,15,115,12,31,25,0,61,1,0,70,31,37
