Player,Season,Born ,Age,Squad,Nation,Previous Market Value,Market Value,Position,App,Minutes,Goals,Passes,Assists,Shots,SOT,Tackles,ABW 
Nathan Dyer,2015-2016,1987,27,Leicester City,England,5000000,3600000,FW,13,231,1,74,0,5,0,4,0.142857143
Kelechi Iheanacho,2016-2017,1996,19,Manchester City,Nigeria,6300000,13500000,FW,26,751,8,346,1,28,12,14,0.222222222
Matej Vydra,2018-2019,1992,26,Burnley,Czech Republic,11000000,7200000,FW,13,313,0,73,0,6,3,2,0.294117647
Peter Crouch,2015-2016,1981,34,Stoke City,England,1350000,1350000,FW,11,457,0,152,0,7,3,3,0.602409639
Michy Batshuayi,2016-2017,1993,22,Chelsea,Belgium,16500000,22500000,FW,20,239,5,80,1,17,8,2,0.375
Michy Batshuayi,2017-2018,1993,24,Chelsea,Belgium,22500000,36000000,FW,20,239,5,80,1,17,8,2,0.375
Michy Batshuayi,2018-2019,1993,24,Crystal Palace,Belgium,36000000,27000000,FW,20,239,5,80,1,17,8,2,0.375
Memphis Depay,2015-2016,1994,21,Manchester United,Netherlands,30800000,22500000,FW,29,1474,2,642,0,57,17,13,0.333333333
Kelechi Iheanacho,2017-2018,1996,21,Leicester City,Nigeria,13500000,13500000,FW,26,751,8,346,1,28,12,14,0.222222222
Kelechi Iheanacho,2018-2019,1996,21,Leicester City,Nigeria,13500000,10800000,FW,26,751,8,346,1,28,12,14,0.222222222
Peter Crouch,2016-2017,1981,35,Stoke City,England,1350000,1350000,FW,11,457,0,152,0,7,3,3,0.602409639
Peter Crouch,2017-2018,1981,36,Stoke City,England,1350000,900000,FW,11,457,0,152,0,7,3,3,0.602409639
Odion Ighalo,2015-2016,1989,26,Watford,Nigeria,4400000,10800000,FW,37,3151,15,722,3,109,48,27,0.252525253
Odion Ighalo,2016-2017,1989,27,Watford,Nigeria,10800000,6300000,FW,37,3151,15,722,3,109,48,27,0.252525253
Victor Anichebe,2015-2016,1988,27,West Bromwich Albion,Nigeria,3850000,1800000,FW,10,365,0,108,0,13,4,2,0.595744681
Mohamed Salah,2017-2018,1992,25,Liverpool,Egypt,88000000,135000000,FW,36,2921,32,946,10,144,67,12,0.270833333
